sim_id,customer_id,device_type,apn,plan_id,status,city
2001,9082,ATM,apn-data,13,inactive,Konya
2002,9015,Sensor,apn-video,14,active,Kayseri
2003,9004,Tracker,apn-m2m,13,inactive,Kahramanmaras
2004,9095,Sensor,apn-m2m,12,blocked,Adana
2005,9036,SmartMeter,apn-iot,11,active,Istanbul
2006,9032,Camera,apn-video,14,active,Eskisehir
2007,9029,POS,apn-data,13,active,Diyarbakir
2008,9018,Camera,apn-video,14,blocked,Trabzon
2009,9095,Gateway,apn-data,11,active,Izmir
2010,9014,Sensor,apn-iot,11,active,Gaziantep
2011,9087,SmartMeter,apn-iot,12,blocked,Batman
2012,9095,SmartMeter,apn-iot,11,active,Ankara
2013,9070,Camera,apn-video,15,active,Gaziantep
2014,9012,Camera,apn-video,14,active,Izmir
2015,9076,Gateway,apn-video,15,active,Bursa
2016,9055,SmartMeter,apn-iot,12,active,Diyarbakir
2017,9005,Camera,apn-video,14,active,Batman
2018,9004,SmartMeter,apn-iot,12,active,Bursa
2019,9012,Gateway,apn-data,12,active,Konya
2020,9028,Sensor,apn-video,14,active,Manisa
2021,9030,SmartMeter,apn-iot,11,blocked,Mersin
2022,9065,Sensor,apn-iot,11,inactive,Gaziantep
2023,9078,POS,apn-m2m,13,inactive,Kayseri
2024,9004,Tracker,apn-data,13,active,Istanbul
2025,9072,Tracker,apn-data,12,active,Mersin
2026,9026,Camera,apn-video,15,inactive,Eskisehir
2027,9092,SmartMeter,apn-iot,13,active,Antalya
2028,9084,Tracker,apn-video,14,active,Izmir
2029,9090,POS,apn-data,12,active,Izmir
2030,9070,POS,apn-data,13,active,Malatya
2031,9054,ATM,apn-data,13,active,Diyarbakir
2032,9029,Camera,apn-video,14,active,Gaziantep
2033,9058,POS,apn-m2m,12,active,Antalya
2034,9076,ATM,apn-data,13,active,Bursa
2035,9036,Sensor,apn-data,13,active,Kahramanmaras
2036,9001,Camera,apn-video,14,blocked,Manisa
2037,9098,Gateway,apn-m2m,12,active,Kayseri
2038,9021,SmartMeter,apn-iot,11,active,Gaziantep
2039,9090,Gateway,apn-iot,13,active,Sivas
2040,9055,Sensor,apn-data,12,inactive,Konya
2041,9044,Tracker,apn-iot,11,active,Elazığ
2042,9036,SmartMeter,apn-iot,13,active,Kahramanmaras
2043,9020,POS,apn-video,14,active,Sivas
2044,9028,Camera,apn-video,15,active,Izmir
2045,9098,POS,apn-m2m,11,active,Van
2046,9044,SmartMeter,apn-iot,12,active,Antalya
2047,9014,POS,apn-video,15,active,Manisa
2048,9012,Camera,apn-video,15,active,Bursa
2049,9049,ATM,apn-data,11,inactive,Adana
2050,9013,Sensor,apn-video,15,active,Kayseri
2051,9046,ATM,apn-iot,11,active,Adana
2052,9045,Sensor,apn-m2m,13,inactive,Bursa
2053,9078,Tracker,apn-data,13,active,Sivas
2054,9034,ATM,apn-iot,13,active,Batman
2055,9006,POS,apn-iot,11,active,Batman
2056,9094,ATM,apn-video,14,active,Gaziantep
2057,9059,Camera,apn-video,15,active,Sivas
2058,9069,Camera,apn-video,14,active,Erzurum
2059,9016,Gateway,apn-iot,13,inactive,Mersin
2060,9049,POS,apn-m2m,13,active,Sivas
2061,9011,Gateway,apn-m2m,13,inactive,Van
2062,9071,Camera,apn-video,15,inactive,Izmir
2063,9038,Gateway,apn-iot,11,blocked,Batman
2064,9081,Gateway,apn-video,14,active,Erzurum
2065,9080,Sensor,apn-iot,11,active,Malatya
2066,9047,Sensor,apn-m2m,13,active,Izmir
2067,9074,POS,apn-m2m,13,active,Elazığ
